Codigo;Acao;Tipo;Qtde. Teorica;Part. (%)
ALOS3;ALLOS;ON  ED  NM;502.481.592;0,523
ALPA4;ALPARGATAS;PN      N1;166.460.180;0,054
ABEV3;AMBEV S/A;ON;4.394.835.131;2,663
ASAI3;ASSAI;ON      NM;1.349.687.675;0,42
AURE3;AUREN;ON      NM;291.727.616;0,137
AZUL4;AZUL;PN      N2;328.421.113;0,087
AZZA3;AZZAS 2154;ON      NM;127.330.493;0,24
B3SA3;B3;ON      NM;5.511.401.013;2,675
BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,01
BBDC3;BRADESCO;ON  EJ  N1;1.484.426.957;0,908
BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;3,588
BRAP4;BRADESPAR;PN      N1;250.969.312;0,229
BBAS3;BRASIL;ON      NM;2.842.613.858;3,53
BRKM5;BRASKEM;PNA     N1;265.388.400;0,245
BRAV3;BRAVA;ON      NM;463.981.130;0,393
BRFS3;BRF SA;ON      NM;814.523.002;0,857
BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;1,918
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;0,34
CRFB3;CARREFOUR BR;ON      NM;531.901.983;0,194
CCRO3;CCR SA;ON      NM;991.920.937;0,562
CMIG4;CEMIG;PN      N1;1.858.636.840;0,957
COGN3;COGNA ON;ON      NM;1.872.454.628;0,109
CPLE6;COPEL;PNB EDJ N2;1.679.233.590;0,78
CSAN3;COSAN;ON      NM;1.165.337.843;0,7
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,294
CMIN3;CSNMINERACAO;ON  EDJ N2;1.110.559.345;0,321
CVCB3;CVC BRASIL;ON      NM;525.591.097;0,044
CYRE3;CYRELA REALT;ON      NM;264.710.610;0,26
ELET3;ELETROBRAS;ON      N1;1.780.013.881;3,124
ELET6;ELETROBRAS;PNB     N1;268.733.136;0,526
EMBR3;EMBRAER;ON      NM;734.632.601;1,55
ENGI11;ENERGISA;UNT     N2;326.175.300;0,658
ENEV3;ENEVA;ON      NM;1.579.821.370;1,015
EGIE3;ENGIE BRASIL;ON      NM;255.236.938;0,494
EQTL3;EQUATORIAL;ON      NM;1.244.602.400;1,844
EZTC3;EZTEC;ON      NM;97.334.950;0,062
FLRY3;FLEURY;ON      NM;464.420.650;0,322
GGBR4;GERDAU;PN      N1;1.242.683.687;1,11
GOAU4;GERDAU MET;PN      N1;661.577.619;0,332
NTCO3;GRUPO NATURA;ON      NM;849.350.756;0,595
HAPV3;HAPVIDA;ON  ATZ NM;4.779.395.040;0,873
HYPE3;HYPERA;ON      NM;409.310.634;0,515
IGTI11;IGUATEMI S.A;UNT     N1;211.468.849;0,212
IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,165
ITSA4;ITAUSA;PN      N1;5.504.638.590;2,7
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.455.161.368;7,203
JBSS3;JBS;ON      NM;1.142.696.472;1,695
KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,753
RENT3;LOCALIZA;ON      NM;977.700.485;1,863
LREN3;LOJAS RENNER;ON      NM;952.487.418;0,776
LWSA3;LWSA;ON      NM;420.626.825;0,081
MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,155
MRFG3;MARFRIG;ON      NM;302.019.876;0,187
BEEF3;MINERVA;ON      NM;261.359.935;0,075
MRVE3;MRV;ON      NM;375.335.828;0,133
MULT3;MULTIPLAN;ON      N2;318.010.631;0,378
PCAR3;P.ACUCAR-CBD;ON      NM;379.327.171;0,05
PETR3;PETROBRAS;ON      N2;2.448.348.744;4,738
PETR4;PETROBRAS;PN      N2;4.431.132.660;7,823
RECV3;PETRORECSA;ON      NM;275.699.226;0,235
PRIO3;PETRORIO;ON      NM;798.909.771;1,674
PETZ3;PETZ;ON      NM;307.729.428;0,068
RADL3;RAIADROGASIL;ON  EDJ NM;1.279.770.315;1,479
RAIZ4;RAIZEN;PN      N2;1.192.947.233;0,167
RDOR3;REDE D OR;ON  EJ  NM;1.145.289.019;1,6
RAIL3;RUMO S.A.;ON      NM;1.215.994.115;1,115
SBSP3;SABESP;ON      NM;683.508.570;2,814
SANB11;SANTANDER BR;UNT;356.586.730;0,471
STBP3;SANTOS BRP;ON      NM;855.712.622;0,578
SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,183
CSNA3;SID NACIONAL;ON;736.268.400;0,432
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,157
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,619
TAEE11;TAESA;UNT     N2;218.568.234;0,347
VIVT3;TELEF BRASIL;ON;407.257.128;1,009
TIMS3;TIM;ON      NM;807.495.418;0,65
TOTS3;TOTVS;ON      NM;540.206.440;0,696
TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,44
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;1,055
USIM5;USIMINAS;PNA     N1;515.193.199;0,149
VALE3;VALE;ON      NM;4.270.903.023;12,386
VAMO3;VAMOS;ON      NM;485.166.826;0,126
VBBR3;VIBRA;ON      NM;1.023.392.529;1,092
VIVA3;VIVARA S.A.;ON      NM;125.823.025;0,16
WEGE3;WEG;ON  EJ  NM;1.269.032.828;3,118
YDUQ3;YDUQS PART;ON      NM;290.010.465;0,135
Quantidade Teï¿½rica Total;;;95.883.873.369;100
Redutor;;;16.463.377,02;
